        ssal    whcol        ses tverb momed  vach
 73    3.417  56.3400   5.227000 25.19 6.645 39.62
 74    2.457  61.1100   8.435000 26.27 6.403 36.94
 75    1.834  94.4100  15.330000 23.66 7.340 42.78
 76    2.954  -3.6170  -4.268000 26.13 5.173 31.22
 77    2.733  52.3800   1.884000 24.80 6.438 33.86
 78    2.758  28.7400  -7.912000 25.24 5.554 31.52
 79    2.067  90.5300  13.280000 24.71 7.176 43.92
 80    3.041  18.6100  -1.371000 25.15 6.162 31.25
 81    2.905  51.2600   2.991000 23.16 6.196 36.11
 82    2.224  40.1000   0.734200 25.36 6.812 34.30
 83    2.663  47.8200  -1.519000 25.03 6.388 34.77
 84    2.091  84.7500  20.210000 23.39 6.992 45.16
 85    1.376  51.0100   4.713000 22.75 6.435 35.26
 86    2.601  35.0300  -3.358000 26.39 6.218 35.53
 87    3.104  10.2600 -10.060000 26.03 5.311 27.06
 88    1.208  50.2400   3.948000 21.08 6.635 34.92
 89    3.378  24.4300   1.422000 24.64 6.250 30.12
 90    3.115   5.8550   0.368200 26.43 5.657 34.68
 91    2.872 114.4000  16.320000 24.85 7.957 44.23
 92    2.823  88.6800  21.160000 26.67 7.384 48.35
 93    1.964  63.1600  16.720000 23.20 6.778 41.85
 94    2.208  10.5600  -6.696000 21.73 5.389 29.15
 95    2.502  84.6600  20.620000 24.87 7.420 45.30
 96    3.189  42.9600   0.189400 25.37 5.873 33.91
 97    2.473  50.3000  -3.627000 23.49 6.203 34.14
 98    2.579  10.1600  -1.802000 24.31 5.405 30.19
 99    2.966  49.4700  -3.321000 26.06 6.363 32.78
100    2.588  19.3200  -0.746900 26.41 5.539 37.65
101    2.676  28.8900   6.168000 25.74 6.123 36.61
102    2.830  38.0900   0.702200 24.82 6.417 32.47
103    1.337   9.8350 -11.120000 22.70 5.235 27.20
104    3.652  65.5000  21.480000 26.85 6.657 46.78
105    2.869   8.7560  -5.075000 27.14 5.107 34.44
106    2.849  36.3900   3.882000 25.68 6.119 36.95
107    3.098 104.1000  24.770000 25.31 7.807 46.39
108    2.634  59.5800   7.967000 25.17 7.021 38.04
109    3.328  46.3400   6.008000 25.13 6.634 36.36
110    2.566  38.0100  -2.841000 22.92 6.001 28.71
111    3.018  92.5800  24.020000 24.70 7.630 45.86
112    2.967  78.9000  13.370000 26.02 7.137 43.22
113    2.453  38.4600  -9.961000 23.52 5.621 29.44
114    2.980  68.6800  12.600000 25.50 6.820 40.99
115    3.076  34.4400  -4.453000 27.46 6.044 30.49
116    2.796   8.4920  -3.795000 27.02 5.630 34.28
117    3.339  33.9900  -1.066000 26.79 6.444 32.57
118    2.847  30.2500  -6.664000 21.88 5.646 27.75
119    2.417  60.4000   2.407000 24.15 6.458 34.19
120    3.125  62.7500   9.692000 26.02 6.248 44.85
121    2.221   3.2710 -10.390000 23.21 5.384 25.80
122    2.601  58.6700  13.700000 25.36 6.574 38.19
123    2.886  55.0400   6.176000 23.86 6.291 39.42
124    2.161  36.5300 -11.920000 23.70 6.068 27.15
125    3.028  44.6000   3.386000 25.17 6.713 35.04
126    2.459  24.8400  -6.317000 23.62 5.725 27.85
127    2.951  38.9200  -0.153800 25.11 6.138 32.09
128    3.537  64.8700   2.349000 26.37 6.707 36.48
129    2.227  36.9600   3.388000 25.52 5.933 36.67
130    2.369  26.5200  -4.219000 25.04 5.706 31.91
131    2.679  10.5900  -9.437000 24.33 5.429 27.52
132    3.159  44.6400 -12.240000 24.32 5.974 27.75
133    2.913  25.7500  -1.941000 27.32 5.689 34.70
134    2.455  18.1900  -0.238300 25.87 6.069 35.02
135    2.345  45.9600   8.938000 24.89 6.767 36.51
136    2.562  42.2400  -3.836000 25.06 5.859 36.59
137    2.764  11.5100  -3.594000 26.59 5.919 29.32
138    2.400  27.2500  -0.182200 24.22 5.533 31.49
139    3.393  42.0000   2.430000 26.17 5.740 32.95
140    1.955  10.7600 -10.330000 21.99 5.848 27.49
141    3.118  30.6200  -7.594000 24.99 6.046 26.79
142    2.150  16.0600  -3.691000 24.10 5.697 30.39
143    2.651  72.4100  19.960000 25.70 6.772 45.52
144    2.285  53.7400   7.337000 26.32 6.596 39.60
145    3.010  50.6200   5.078000 24.74 6.626 35.18
146    2.881  24.1100  -6.179000 24.55 5.286 28.69
147    2.281  25.2100   0.521500 24.85 5.764 36.63
148    2.975  39.3800 -13.700000 23.70 6.081 25.18
149    2.913  54.4100  11.480000 26.14 6.457 42.23
150    2.362  60.6600  12.790000 25.05 6.635 43.64
151    3.181  72.4700  10.530000 25.59 7.251 40.51
152    2.299   7.7380   0.006287 23.04 5.394 29.74
153    2.734  14.2000  -3.546000 24.32 5.746 28.56
154    2.674  81.7500  20.590000 24.84 7.300 41.96
155    2.807  12.4800  -9.884000 24.31 5.300 25.98
156    2.573  16.2300   1.468000 25.53 5.257 37.38
157    3.152  40.3400   4.415000 26.06 6.250 38.22
158    1.494  18.3600  -1.602000 23.02 5.434 32.65
159    2.056   5.8120 -11.860000 24.59 5.598 25.64
160    2.332   2.4410  -4.510000 24.35 5.585 31.72
161    3.155  34.4400  15.030000 25.32 6.083 43.37
162    2.601  -4.5490  -9.302000 23.85 4.909 27.82
163    2.310  55.0400   7.258000 24.58 7.032 36.42
164    2.723  49.0400  -4.859000 22.81 6.175 25.72
165    1.745  -7.2660 -16.320000 22.31 5.078 23.80
166    1.830  46.9700  -9.102000 24.45 5.747 29.26
167    2.726  23.0600   2.643000 25.78 6.142 34.54
168    1.980  45.1400   9.217000 23.10 6.592 33.52
169    2.267  10.2000  -6.013000 23.78 5.225 29.39
170    2.499  54.5600   0.176200 23.62 6.724 33.02
171    2.941  33.4000   2.404000 25.83 5.938 37.57
172    2.429  50.1100   2.851000 25.83 5.969 34.58
173    2.807   5.8620 -13.170000 25.51 5.507 27.28
174    2.230  13.8700 -11.470000 24.23 5.696 28.82
175    3.152  59.9200  12.270000 26.01 6.768 38.68
176    2.280   0.2389 -14.300000 24.04 5.087 24.71
177    2.465  42.2100   5.758000 23.62 5.973 35.38
178    2.636  12.8600   0.033480 25.15 5.560 32.73
179    2.301  46.2900   2.124000 24.11 6.323 35.23
180    2.803  62.8700  11.460000 25.65 6.459 38.06
181    3.585  67.6400  20.070000 27.52 7.426 44.61
182    2.629  28.5100  -1.596000 26.10 6.160 32.77
183    3.009  22.2400  -5.523000 24.45 5.795 30.74
184    1.826  10.4800  -0.366300 26.13 5.207 37.38
185    2.219  47.2300  -0.932200 23.33 5.869 34.20
186    3.123  37.2300   0.289900 25.98 6.548 32.63
187    1.952   6.8360  -6.315000 21.32 5.693 25.45
188    2.730 -13.3100 -11.110000 24.40 4.849 26.24
189    2.665  -0.6693 -13.830000 24.50 5.367 23.90
190    2.616  90.4400  24.910000 25.20 7.519 47.01
191    2.648  35.2100   0.279100 24.41 5.961 31.94
192    2.066   2.4050   3.147000 23.98 5.770 34.96
193    2.425  40.2900   6.949000 22.90 5.961 33.85
194    2.001  -3.9830 -15.100000 25.24 4.963 27.68
195    2.582   0.6513 -11.170000 25.95 5.262 29.85
196    2.658  39.8900   4.603000 25.26 6.156 37.34
197    3.214  68.7700  22.620000 25.73 7.141 43.57
198    2.479  17.6900   1.023000 24.93 6.004 33.63
199    2.339  40.9600 -11.160000 25.80 6.271 28.51
200    2.701  -6.0630 -17.200000 25.68 5.283 25.44
201    2.739   9.2010   2.435000 22.92 5.200 31.81
202    3.255  29.2100  -3.332000 25.82 5.885 29.36
203    3.254  45.4000  -8.303000 27.23 6.262 29.98
204    3.407  75.3900   5.643000 27.74 6.957 35.53
205    2.825  44.3800   5.209000 25.74 6.558 34.09
206    2.381  25.3200  -2.295000 24.67 6.059 31.29
207    2.924  13.7500   1.820000 25.62 5.630 32.51
208    1.743  19.6400  -7.781000 23.38 5.796 28.39
209    3.120  36.5900  -6.002000 25.37 6.100 30.20
210    2.808 127.0000  33.480000 22.32 7.881 49.69
211    2.963   7.0840  -1.574000 26.49 5.558 35.93
212    2.128 105.2000  27.100000 24.09 7.660 49.28
213    2.725  56.4100   9.564000 24.82 6.646 37.27
214    2.716   7.4240   3.246000 27.46 5.853 35.43
215    2.984  39.7100   1.502000 24.69 5.833 36.53
216    2.200  60.2700  11.570000 22.47 6.420 38.18
217    2.943  53.6800  -1.270000 23.26 6.812 29.31
218    2.615   9.4220 -13.890000 25.06 5.078 27.02
219    3.442  66.4700   1.638000 24.26 6.718 32.46
220    3.395  14.0400  -3.448000 25.76 5.988 32.65
221    3.012   8.8980  -9.597000 24.54 5.050 28.30
222    2.379  47.8700  14.690000 25.34 6.526 44.93
223    2.899  -8.6650 -15.980000 25.02 5.025 21.81
224    3.469  75.0800  12.880000 25.29 6.973 40.26
225    2.163  23.9900  -2.711000 24.49 6.255 29.92
226    2.832  10.0900 -13.040000 23.21 5.413 23.33
227    2.757  62.3600   8.623000 24.71 6.981 38.23
228    3.143  48.4100   4.376000 24.67 6.676 32.13
229    3.100  58.0600  -2.243000 24.35 6.535 30.36
230    2.636  77.3700   7.851000 26.96 7.444 39.50
231    2.196  58.0800   3.632000 22.02 6.623 31.64
232    2.169  75.6600  27.640000 23.68 7.001 48.11
233    2.306  36.2900  -2.365000 24.43 6.131 29.21
234    2.216  51.1100  10.170000 23.38 6.856 40.34
235    3.344  65.8800  16.170000 27.79 7.009 44.49
236    2.683   5.7810  -9.519000 25.19 5.875 30.42
237    2.403  -2.7760 -13.390000 26.22 5.330 26.60
238    2.814  34.4800  13.100000 25.52 5.847 44.01
239    3.141  37.7300  -3.526000 24.12 5.893 28.70
240    2.620  69.1600  14.430000 23.77 6.878 40.01
241    3.161  53.0500   4.484000 27.05 7.033 35.70
242    2.261  16.9900   2.320000 23.26 5.699 34.01
243    2.726  21.7900 -10.170000 25.10 5.776 26.60
244    2.631 -10.3700 -16.650000 25.96 5.155 25.04
245    3.708  15.8800   0.197200 26.02 5.685 34.56
246    3.066  18.4500   9.235000 24.56 6.178 39.00
247    2.254  47.7100   6.050000 24.78 6.580 36.45
248    2.671  48.3000   4.805000 26.58 6.653 41.58
249    2.490  56.5900   0.706000 21.73 6.181 32.97
250    3.208  42.3200   6.365000 25.79 6.467 32.51
251    3.606  39.4400   5.264000 26.30 6.149 37.30
252    2.731  33.8300   5.354000 24.56 6.278 36.49
253    2.453  66.2000  17.910000 25.13 7.029 45.61
254    3.227  25.7700  -1.799000 25.98 5.905 31.46
255    2.396  38.4700  -2.319000 24.95 6.358 35.17
256    2.454  76.5800  14.050000 24.80 6.731 44.04
257    3.337  69.2800  12.460000 25.08 7.159 35.40
258    2.185   8.9370   0.939600 26.33 5.823 34.21
259    2.870  49.2500   2.959000 25.19 6.052 34.11
260    2.725  40.3000  -1.100000 25.84 6.267 33.20
261    2.605  57.8400  12.560000 26.82 6.696 41.05
262    2.977  47.8100   2.866000 23.55 6.387 30.48
263    2.977  62.6000  16.440000 24.88 6.775 42.77
264    2.830  18.6300   1.055000 26.97 6.271 34.18
265    3.257  75.8200   6.002000 25.72 7.141 33.23
266    2.855  23.5700  -8.107000 24.93 5.763 28.50
267    3.112   2.5250  -6.033000 25.21 5.387 28.96
268    2.511  73.0400   3.902000 23.50 6.995 31.83
269    2.652  86.1600  14.500000 24.09 7.158 42.87
270    3.458  40.3300   9.059000 27.22 6.285 37.53
271    3.166  56.8100  10.230000 25.39 6.698 35.46
272    3.711  93.0000  24.340000 27.31 7.346 50.65
273    3.368  50.7200   7.997000 28.01 6.072 41.47
274    2.637  66.2600   8.721000 24.42 6.017 35.88
275    2.613   9.2280 -10.780000 25.42 5.125 30.09
276    2.689  58.1500   9.915000 25.37 6.547 38.27
277    1.613  -1.7210  -4.629000 23.43 5.348 29.58
278    2.720  46.5500  12.420000 25.87 6.445 41.10
279    3.218  41.4200   5.312000 26.07 5.977 37.82
280    2.641  86.2900  17.370000 25.18 7.352 43.59
281    2.533  51.5500  -4.353000 25.11 6.253 30.28
282    3.348  13.7000  -3.163000 23.94 5.847 32.79
283    3.067  52.8600  12.690000 23.72 6.297 36.29
284    2.884  60.4300  18.790000 26.16 6.441 46.71
285    3.216  59.4100   8.515000 23.21 6.453 35.39
286    2.199  76.6400  14.810000 23.91 7.107 40.21
287    1.829  -1.4670 -13.920000 22.47 5.029 23.12
288    1.978  57.5000   2.138000 24.30 6.143 33.82
289    1.660  57.0900  -0.626300 22.31 6.999 30.56
290    2.992  80.1900  17.590000 25.20 7.187 43.04
291    1.451 105.5000  24.700000 23.97 8.144 48.13
292    2.837  54.1100   8.912000 25.08 6.601 38.81
293    2.061   5.7480   0.931600 24.06 5.128 34.48
294    3.069  52.6100  10.760000 28.31 6.599 44.94
295    3.109  10.4200  -4.827000 25.99 5.750 30.66
296    2.109   1.5980   0.540000 23.79 5.426 33.72
297    1.520 -17.2200 -15.950000 25.72 4.951 25.80
298    2.827  14.7400  -5.875000 24.89 5.395 31.53
299    2.786  57.1400  12.090000 24.71 6.553 40.19
300    2.764  14.9000  -3.275000 27.54 5.336 36.85
301    2.859  41.1200  -0.440300 24.93 5.882 34.66
302    2.424  -7.1760 -15.610000 24.40 5.743 24.67
303    2.765  26.0000  -0.596000 25.77 6.299 33.12
304    2.054  12.3500   4.705000 25.82 5.789 36.82
305    2.625  65.6800   8.138000 27.03 6.984 42.78
306    1.932  43.8300   5.823000 23.20 6.161 33.39
307    2.655  15.7000   0.866400 25.30 5.625 32.66
308    2.909  46.7200   3.223000 25.54 6.454 35.99
309    2.506  44.9900  -3.849000 25.18 6.422 32.58
310    3.156 106.8000  35.310000 26.77 7.535 56.95
311    3.181  79.2500   7.564000 25.69 6.802 36.57
312    3.173  51.2400   0.992200 26.29 6.752 34.07
313    2.558  15.1800  -3.759000 23.70 5.366 31.46
314    1.974  51.0700   1.013000 25.43 6.414 35.83
315    2.098  26.0500  -2.714000 24.51 6.015 33.21
316    2.357  33.0900   2.509000 23.35 6.528 34.34
317    2.513  19.4900  -6.298000 25.82 5.292 29.74
318    2.970  64.6800  21.100000 27.74 7.117 44.64
319    2.989  52.3300   9.085000 26.21 6.401 38.92
320    3.002  60.4900   9.472000 26.53 6.348 44.80
